//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2013/11/15 09:00,5276,5276,5267,5267,8,8
2013/11/15 10:00,5268,5269,5268,5269,4,12
2013/11/15 11:00,5234,5234,5234,5234,2,12
2013/11/15 13:00,5239,5244,5235,5235,10,18
2013/11/15 14:00,5224,5228,5212,5212,12,30
2013/11/18 09:00,5218,5221,5200,5200,34,62
2013/11/18 11:00,5190,5190,5190,5190,2,64
2013/11/18 13:00,5190,5190,5181,5181,24,74
2013/11/18 14:00,5180,5180,5171,5173,22,88
2013/11/19 09:00,5192,5202,5175,5175,92,118
2013/11/19 10:00,5170,5170,5169,5169,6,122
2013/11/19 11:00,5170,5170,5167,5167,6,126
2013/11/19 13:00,5169,5173,5169,5173,4,126
2013/11/19 14:00,5175,5184,5175,5184,18,128
2013/11/20 09:00,5150,5205,5150,5194,34,126
2013/11/20 10:00,5200,5200,5195,5195,8,120
2013/11/20 11:00,5197,5197,5197,5197,2,118
2013/11/20 13:00,5196,5197,5196,5197,6,114
2013/11/21 09:00,5189,5189,5189,5189,4,112
2013/11/21 10:00,5195,5195,5194,5194,6,114
2013/11/21 13:00,5197,5197,5190,5192,24,130
2013/11/21 14:00,5195,5198,5187,5188,36,146
2013/11/22 09:00,5178,5186,5178,5186,16,158
2013/11/22 10:00,5194,5194,5188,5188,4,158
2013/11/22 11:00,5191,5192,5182,5182,16,172
2013/11/22 13:00,5178,5180,5174,5174,14,168
2013/11/22 14:00,5174,5179,5171,5179,32,176
2013/11/25 09:00,5176,5177,5165,5171,60,200
2013/11/25 10:00,5170,5171,5163,5170,10,198
2013/11/25 11:00,5169,5169,5166,5168,16,192
2013/11/25 14:00,5163,5163,5159,5163,10,196
2013/11/26 09:00,5152,5161,5152,5161,4,198
2013/11/26 10:00,5163,5163,5163,5163,2,198
2013/11/26 11:00,5160,5160,5160,5160,2,198
2013/11/26 14:00,5159,5159,5156,5156,8,202
2013/11/27 09:00,5173,5178,5170,5170,44,230
2013/11/27 10:00,5170,5179,5170,5179,36,244
2013/11/27 11:00,5179,5179,5179,5179,6,250
2013/11/27 14:00,5174,5176,5174,5176,6,254
2013/11/28 09:00,5156,5174,5156,5161,40,266
2013/11/28 10:00,5163,5163,5163,5163,2,268
2013/11/28 11:00,5166,5166,5166,5166,20,288
2013/11/28 13:00,5172,5183,5172,5183,16,284
2013/11/28 14:00,5182,5186,5176,5182,26,288
2013/11/29 09:00,5180,5198,5180,5197,30,284
2013/11/29 10:00,5193,5193,5180,5180,18,288
2013/11/29 11:00,5182,5183,5181,5181,24,272
2013/11/29 13:00,5176,5176,5176,5176,2,272
2013/11/29 14:00,5176,5178,5170,5170,10,270
2013/12/02 09:00,5160,5160,5146,5154,36,292
2013/12/02 10:00,5157,5158,5148,5148,22,310
2013/12/02 11:00,5146,5150,5145,5150,8,316
2013/12/02 13:00,5152,5152,5151,5151,8,318
2013/12/02 14:00,5149,5153,5146,5153,32,342
2013/12/03 09:00,5138,5139,5121,5139,32,334
2013/12/03 11:00,5139,5139,5139,5139,2,336
2013/12/03 14:00,5135,5135,5132,5132,26,340
2013/12/04 09:00,5103,5136,5103,5134,46,372
2013/12/04 10:00,5130,5136,5130,5135,24,386
2013/12/04 11:00,5130,5132,5130,5131,8,386
2013/12/04 13:00,5125,5125,5120,5120,20,386
2013/12/04 14:00,5120,5128,5118,5124,30,394
2013/12/05 09:00,5122,5129,5112,5128,48,392
2013/12/05 10:00,5123,5127,5123,5125,16,392
2013/12/05 11:00,5123,5128,5120,5120,38,394
2013/12/05 13:00,5122,5124,5122,5124,8,398
2013/12/05 14:00,5125,5131,5123,5129,60,414
2013/12/06 09:00,5144,5144,5127,5128,40,408
2013/12/06 10:00,5137,5137,5137,5137,4,408
2013/12/06 13:00,5130,5134,5127,5131,22,416
2013/12/06 14:00,5130,5138,5127,5136,52,422
2013/12/09 09:00,5117,5123,5112,5115,156,532
2013/12/09 10:00,5116,5116,5111,5111,18,550
2013/12/09 11:00,5116,5116,5102,5102,22,560
2013/12/09 13:00,5108,5108,5092,5093,56,590
2013/12/09 14:00,5096,5100,5092,5096,18,600
2013/12/10 09:00,5086,5098,5083,5087,98,574
2013/12/10 10:00,5083,5091,5080,5081,66,582
2013/12/10 11:00,5081,5085,5080,5080,26,586
2013/12/10 13:00,5080,5082,5076,5076,42,564
2013/12/10 14:00,5075,5081,5072,5072,44,596
2013/12/11 09:00,5086,5094,5080,5089,92,614
2013/12/11 10:00,5089,5094,5086,5086,30,616
2013/12/11 11:00,5085,5085,5083,5085,20,608
2013/12/11 13:00,5081,5085,5081,5085,12,610
2013/12/11 14:00,5084,5084,5076,5081,40,616
2013/12/12 09:00,5061,5062,5045,5053,122,612
2013/12/12 11:00,5051,5051,5046,5046,48,574
2013/12/12 13:00,5051,5053,5045,5051,44,544
2013/12/12 14:00,5051,5051,5047,5047,12,544
2013/12/13 09:00,5040,5040,5028,5040,26,546
2013/12/13 10:00,5042,5042,5042,5042,4,544
2013/12/13 11:00,5053,5055,5044,5044,24,550
2013/12/13 13:00,5043,5048,5041,5043,28,554
2013/12/13 14:00,5040,5049,5040,5045,10,556
2013/12/16 09:00,5037,5071,5036,5067,44,544
2013/12/16 10:00,5066,5072,5060,5063,64,534
2013/12/16 11:00,5068,5068,5063,5065,6,536
2013/12/16 13:00,5067,5068,5067,5068,6,538
2013/12/16 14:00,5068,5071,5060,5060,56,534
2013/12/17 09:00,5062,5070,5059,5060,80,554
2013/12/17 10:00,5064,5067,5062,5062,20,550
2013/12/17 11:00,5065,5066,5061,5061,10,544
2013/12/17 13:00,5060,5069,5057,5069,28,538
2013/12/17 14:00,5068,5075,5065,5065,52,534
2013/12/18 09:00,5037,5041,5030,5040,86,546
2013/12/18 10:00,5045,5046,5037,5037,78,558
2013/12/18 13:00,5033,5074,5033,5063,58,552
2013/12/18 14:00,5058,5075,5058,5075,8,558
2013/12/19 09:00,5076,5097,5074,5091,72,550
2013/12/19 10:00,5095,5095,5089,5091,76,562
2013/12/19 11:00,5084,5084,5084,5084,2,562
2013/12/19 13:00,5087,5091,5085,5085,6,564
2013/12/19 14:00,5091,5093,5080,5080,16,570
2013/12/20 09:00,5098,5113,5095,5113,68,562
2013/12/20 10:00,5114,5114,5107,5107,22,566
2013/12/20 11:00,5112,5112,5108,5109,14,572
2013/12/20 13:00,5109,5111,5102,5102,20,570
2013/12/20 14:00,5103,5106,5092,5101,36,584
2013/12/23 09:00,5110,5110,5080,5080,102,562
2013/12/23 10:00,5080,5085,5080,5083,20,546
2013/12/23 11:00,5088,5093,5088,5093,4,548
2013/12/23 14:00,5085,5092,5085,5086,16,552
2013/12/24 09:00,5066,5074,5063,5074,36,562
2013/12/24 10:00,5064,5070,5063,5070,8,564
2013/12/24 11:00,5066,5078,5066,5078,12,572
2013/12/24 13:00,5089,5089,5080,5088,12,576
2013/12/24 14:00,5090,5101,5090,5092,22,586
2013/12/25 09:00,5096,5105,5096,5097,80,642
2013/12/25 10:00,5097,5097,5080,5091,36,664
2013/12/25 11:00,5089,5093,5088,5093,16,672
2013/12/25 13:00,5096,5096,5092,5092,46,714
2013/12/25 14:00,5089,5104,5088,5104,36,720
2013/12/26 09:00,5102,5134,5102,5134,76,692
2013/12/26 10:00,5135,5142,5133,5140,46,696
2013/12/26 11:00,5138,5138,5138,5138,2,696
2013/12/26 13:00,5138,5138,5138,5138,6,696
2013/12/26 14:00,5130,5134,5117,5127,56,708
2013/12/27 09:00,5129,5129,5109,5109,78,714
2013/12/27 10:00,5110,5110,5090,5090,48,738
2013/12/27 11:00,5086,5086,5082,5086,6,734
2013/12/27 13:00,5083,5090,5083,5090,8,736
2013/12/27 14:00,5095,5095,5084,5087,42,746
2013/12/30 09:00,5058,5068,5029,5032,492,924
2013/12/30 10:00,5032,5032,4930,4960,880,1322
2013/12/30 11:00,4958,4965,4940,4952,258,1368
2013/12/30 13:00,4952,4957,4950,4957,94,1374
2013/12/30 14:00,4958,4973,4954,4971,486,1284
2013/12/31 09:00,4950,4950,4906,4929,154,1310
2013/12/31 10:00,4925,4935,4915,4916,132,1298
2013/12/31 11:00,4917,4926,4916,4926,180,1302
2013/12/31 13:00,4922,4928,4921,4921,38,1292
2013/12/31 14:00,4927,4939,4927,4934,100,1290
2014/01/02 09:00,4892,4955,4892,4951,294,1402
2014/01/02 10:00,4952,4954,4947,4947,70,1420
2014/01/02 11:00,4950,4951,4944,4945,26,1428
2014/01/02 13:00,4943,4943,4935,4935,40,1422
2014/01/02 14:00,4935,4939,4931,4936,194,1544
2014/01/03 09:00,4921,4928,4917,4926,90,1526
2014/01/03 10:00,4928,4928,4923,4923,28,1528
2014/01/03 11:00,4919,4919,4917,4919,12,1528
2014/01/03 13:00,4918,4923,4915,4923,26,1550
2014/01/03 14:00,4922,4927,4917,4922,138,1666
2014/01/06 09:00,4885,4889,4833,4835,222,1726
2014/01/06 10:00,4840,4854,4839,4848,82,1760
2014/01/06 11:00,4856,4856,4838,4838,40,1764
2014/01/06 13:00,4835,4835,4833,4833,16,1778
2014/01/06 14:00,4835,4836,4830,4830,130,1806
2014/01/07 09:00,4830,4845,4830,4844,96,1810
2014/01/07 10:00,4837,4838,4833,4837,18,1818
2014/01/07 11:00,4838,4843,4837,4843,18,1810
2014/01/07 13:00,4830,4830,4800,4800,64,1814
2014/01/07 14:00,4797,4800,4784,4787,152,1880
2014/01/08 09:00,4788,4788,4746,4769,170,1916
2014/01/08 10:00,4757,4759,4745,4745,34,1932
2014/01/08 11:00,4746,4750,4745,4747,46,1938
2014/01/08 13:00,4746,4750,4741,4742,138,2034
2014/01/08 14:00,4742,4747,4736,4738,56,2040
2014/01/09 09:00,4696,4732,4673,4720,618,2396
2014/01/09 10:00,4720,4726,4718,4723,142,2426
2014/01/09 11:00,4720,4720,4714,4714,60,2452
2014/01/09 13:00,4714,4714,4696,4700,244,2580
2014/01/09 14:00,4704,4717,4703,4717,84,2622
2014/01/10 09:00,4697,4713,4690,4692,334,2884
2014/01/10 10:00,4690,4698,4686,4686,148,2950
2014/01/10 11:00,4692,4708,4692,4698,238,2962
2014/01/10 13:00,4700,4703,4698,4700,110,3052
2014/01/10 14:00,4697,4711,4697,4709,98,3052
2014/01/13 09:00,4721,4721,4701,4705,90,3080
2014/01/13 10:00,4701,4706,4695,4706,60,3090
