//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2013/11/15,5276,5276,5212,5212,36,30
2013/11/18,5218,5221,5171,5173,82,88
2013/11/19,5192,5202,5167,5184,126,128
2013/11/20,5150,5205,5150,5197,50,114
2013/11/21,5189,5198,5187,5188,70,146
2013/11/22,5178,5194,5171,5179,82,176
2013/11/25,5176,5177,5159,5163,96,196
2013/11/26,5152,5163,5152,5156,16,202
2013/11/27,5173,5179,5170,5176,92,254
2013/11/28,5156,5186,5156,5182,104,288
2013/11/29,5180,5198,5170,5170,84,270
2013/12/02,5160,5160,5145,5153,106,342
2013/12/03,5138,5139,5121,5132,60,340
2013/12/04,5103,5136,5103,5124,128,394
2013/12/05,5122,5131,5112,5129,170,414
2013/12/06,5144,5144,5127,5136,118,422
2013/12/09,5117,5123,5092,5096,270,600
2013/12/10,5086,5098,5072,5072,276,596
2013/12/11,5086,5094,5076,5081,194,616
2013/12/12,5061,5062,5045,5047,226,544
2013/12/13,5040,5055,5028,5045,92,556
2013/12/16,5037,5072,5036,5060,176,534
2013/12/17,5062,5075,5057,5065,190,534
2013/12/18,5037,5075,5030,5075,230,558
2013/12/19,5076,5097,5074,5080,172,570
2013/12/20,5098,5114,5092,5101,160,584
2013/12/23,5110,5110,5080,5086,142,552
2013/12/24,5066,5101,5063,5092,90,586
2013/12/25,5096,5105,5080,5104,214,720
2013/12/26,5102,5142,5102,5127,186,708
2013/12/27,5129,5129,5082,5087,182,746
2013/12/30,5058,5068,4930,4971,2210,1284
2013/12/31,4950,4950,4906,4934,604,1290
2014/01/02,4892,4955,4892,4936,624,1544
2014/01/03,4921,4928,4915,4922,294,1666
2014/01/06,4885,4889,4830,4830,490,1806
2014/01/07,4830,4845,4784,4787,348,1880
2014/01/08,4788,4788,4736,4738,444,2040
2014/01/09,4696,4732,4673,4717,1148,2622
2014/01/10,4697,4713,4686,4709,928,3052
2014/01/13,4721,4721,4695,4701,298,3174
2014/01/14,4705,4756,4705,4724,354,3218
2014/01/15,4705,4730,4702,4715,126,3232
2014/01/16,4695,4695,4650,4657,1218,3668
2014/01/17,4660,4697,4660,4681,524,3566
2014/01/20,4669,4724,4647,4723,1254,3644
2014/01/21,4715,4715,4662,4662,474,3756
2014/01/22,4650,4695,4650,4685,438,3728
2014/01/23,4658,4695,4658,4680,256,3778
2014/01/24,4687,4707,4672,4700,178,3836
2014/01/27,4700,4726,4692,4699,522,3914
2014/01/28,4661,4671,4607,4621,984,4314
2014/01/29,4637,4655,4630,4655,372,4274
2014/01/30,4615,4629,4604,4615,336,4386
2014/02/07,4700,4727,4697,4711,408,4446
2014/02/10,4705,4783,4695,4778,926,4638
2014/02/11,4772,4776,4753,4762,524,4830
2014/02/12,4751,4785,4742,4776,834,5226
2014/02/13,4590,4886,4590,4868,1798,5826
2014/02/14,4861,4895,4841,4853,1266,6010
2014/02/17,4865,4890,4825,4829,914,5788
2014/02/18,4825,4867,4825,4846,444,6024
2014/02/19,4900,4950,4880,4885,672,6122
2014/02/20,4915,4944,4911,4940,1684,6458
2014/02/21,4922,5015,4922,5008,840,6662
2014/02/24,5022,5056,5006,5050,1294,6806
2014/02/25,5098,5117,5069,5093,1548,7416
2014/02/26,5072,5074,5008,5055,2660,9158
2014/02/27,5076,5076,5045,5060,2758,11122
2014/02/28,5091,5097,5021,5030,3274,13086
2014/03/03,5006,5052,4997,5039,1472,13696
2014/03/04,5045,5058,5037,5058,2462,15194
2014/03/05,5057,5070,5040,5050,636,15376
2014/03/06,5090,5220,5085,5213,2384,15786
2014/03/07,5210,5279,5199,5259,4284,15080
2014/03/10,5190,5209,5156,5186,1700,14838
2014/03/11,5216,5271,5203,5268,2822,14438
2014/03/12,5235,5255,5206,5237,1900,14628
2014/03/13,5200,5213,5179,5209,1496,14686
2014/03/14,5231,5231,5134,5158,1902,14862
2014/03/17,5112,5120,5082,5089,2344,15108
2014/03/18,5089,5115,5068,5083,1906,15104
2014/03/19,5094,5109,5075,5108,904,15208
2014/03/20,5125,5125,5055,5060,1594,15836
2014/03/21,5050,5090,5036,5073,2060,15868
2014/03/24,5070,5072,4980,4988,5066,17702
2014/03/25,4988,5019,4979,4986,2530,17772
2014/03/26,5010,5035,4989,4995,2686,18970
2014/03/27,5045,5216,5042,5199,5590,18328
2014/03/28,5215,5269,5215,5266,3872,18040
2014/03/31,5255,5258,5219,5230,1928,17644
2014/04/01,5221,5352,5215,5305,3888,17864
2014/04/02,5201,5237,5137,5152,5172,19994
2014/04/03,5153,5187,5151,5187,1954,20286
2014/04/04,5202,5206,5150,5170,4020,18384
2014/04/08,5126,5159,5102,5141,1406,18758
2014/04/09,5180,5215,5150,5200,3162,18372
2014/04/10,5186,5228,5167,5173,2570,18994
2014/04/11,5180,5189,5136,5172,1012,18968
2014/04/14,5148,5229,5133,5221,2666,18376
2014/04/15,5200,5213,5175,5206,2452,19158
2014/04/16,5215,5269,5215,5260,5796,18854
2014/04/17,5293,5293,5220,5248,3028,19954
2014/04/18,5234,5291,5197,5287,4362,20320
2014/04/21,5287,5292,5240,5241,4000,20766
2014/04/22,5250,5260,5215,5237,3230,21286
2014/04/23,5258,5270,5223,5253,2390,21062
2014/04/24,5290,5327,5280,5285,4540,21168
2014/04/25,5270,5276,5250,5263,2560,22076
2014/04/28,5275,5297,5235,5294,4688,21034
2014/04/29,5280,5283,5258,5269,2424,21596
2014/04/30,5278,5301,5270,5276,1784,21830
2014/05/05,5245,5270,5200,5200,5566,22470
2014/05/06,5203,5216,5141,5150,3978,24196
2014/05/07,5139,5155,5121,5146,3180,24424
2014/05/08,5153,5162,5128,5135,3754,24118
2014/05/09,5139,5146,5103,5128,3294,24158
2014/05/12,5120,5165,5120,5140,1778,24064
2014/05/13,5150,5176,5145,5170,2196,24408
2014/05/14,5240,5313,5240,5310,8640,25988
2014/05/15,5365,5365,5294,5299,13194,31468
2014/05/16,5305,5326,5291,5324,9128,36776
2014/05/19,5281,5390,5281,5377,13184,40484
2014/05/20,5364,5413,5328,5387,17570,44672
2014/05/21,5370,5370,5332,5339,12986,45432
2014/05/22,5337,5363,5279,5281,14424,46220
2014/05/23,5268,5270,5219,5258,11772,45222
2014/05/26,5255,5293,5255,5281,6350,45296
2014/05/27,5243,5284,5230,5265,9190,44334
2014/05/28,5210,5249,5204,5246,12750,46456
2014/05/29,5246,5281,5246,5266,4500,46342
2014/05/30,5305,5309,5278,5297,6320,46930
2014/06/03,5275,5275,5231,5240,8364,47718
2014/06/04,5234,5251,5207,5216,8138,46934
2014/06/05,5194,5248,5188,5238,7714,47908
